variable,Nirankal_median,Virnoda_median,mannwhitney_u,p_value,cohens_d,cliffs_delta,n_a,n_b,q_value_bh
Biceps (mm),27.4,22.0,1914.0,0.021288439075676607,-0.36367521410494186,0.25508196721311477,50,61,0.23417282983244267
BMI,15.95,17.6,570.5,0.09364468254596588,0.26873342493742086,-0.22486413043478262,32,46,0.40094777958487976
Triceps (mm),26.43,21.5,1746.0,0.19121373420160315,-0.23277589346537533,0.14491803278688525,50,61,0.40094777958487976
Height (cm),139.4477143,146.5145833,1336.5,0.26513395568852316,0.13736835954283272,-0.12360655737704918,50,61,0.40094777958487976
Chest Cir (cm),68.37857143,72.0,1342.5,0.2806312253544485,0.16351168029569815,-0.11967213114754098,50,61,0.40094777958487976
Waist Cir (cm),58.3,62.0,1348.5,0.29672461440059206,0.20700833781454103,-0.11573770491803279,50,61,0.40094777958487976
Weight (kg),33.288035715,38.1,1350.5,0.3023771198911689,0.23088474797741967,-0.11442622950819673,50,61,0.40094777958487976
Hip Cir (cm),70.392857145,77.2,1355.0,0.31490298092952973,0.2362081072536757,-0.11147540983606558,50,61,0.40094777958487976
Subscapular (mm),11.975,10.5,1690.5,0.3280481832967198,-0.10731950923238458,0.10852459016393443,50,61,0.40094777958487976
Head Cir. (cm),50.389285715,50.0,1539.5,0.9338248988085441,0.017000252595457087,0.009508196721311476,50,61,0.9592273155879663
Abdomen (mm),14.5,13.9,1503.5,0.9592273155879663,0.07919527921102634,0.006022080963532954,49,61,0.9592273155879663
